onset,duration,trial_type,choose,relevant_rank,irrelevant_rank,D,I,E,A,,,,,diag1,
8.0276988,1,3,,,,,,,,,,,,,
26.2127315,1,3,,,,,,,,,,,,,
46.9010696,1,3,,,,,,,,,,,,,
65.9848246,1,3,,,,,,,,,,,,,
82.1509345,1,3,,,,,,,,,,,,,
97.9838504,1,3,,,,,,,,,,,,,
115.1504988,1,3,,,,,,,,,,,,,
134.6372731,1,3,,,,,,,,,,,,,
154.1446992,1,3,,,,,,,,,,,,,
173.0933213,1,3,,,,,,,,,,,,,
190.0756556,1,3,,,,,,,,,,,,,
205.3746258,1,3,,,,,,,,,,,,,
223.0245604,1,3,,,,,,,,,,,,,
241.1264202,1,3,,,,,,,,,,,,,
257.2586463,1,3,,,,,,,,,,,,,
272.7240085,1,3,,,,,,,,,,,,,
287.8725715,1,3,,,,,,,,,,,,,
303.7223286,1,3,,,,,,,,,,,,,
324.7260536,1,3,,,,,,,,,,,,,
347.7326181,1,3,,,,,,,,,,,,,
10.562961,2,33,1,2,1,,,,,3,4,7,,4.949747468,2.828427125
28.7482297,2,33,2,3,3,,,,,2,2,4,,2.828427125,-2.121320344
49.4351983,2,33,2,3,4,,,,,2,1,3,,2.121320344,-2.828427125
68.5206903,2,33,1,1,3,,,,,4,2,6,,4.242640687,2.121320344
84.6881062,2,33,2,4,4,,,,,1,1,2,,1.414213562,-2.828427125
100.5190894,2,33,2,4,4,,,,,1,1,2,,1.414213562,-2.828427125
117.6862631,2,33,1,1,1,,,,,4,4,8,,5.656854249,2.828427125
137.1737111,2,33,1,2,3,,,,,3,2,5,,3.535533906,2.121320344
156.6775331,2,33,1,1,3,,,,,4,2,6,,4.242640687,1.414213562
175.6274014,2,33,2,4,2,,,,,1,3,4,,2.828427125,-2.828427125
192.6108736,2,33,1,1,2,,,,,4,3,7,,4.949747468,1.414213562
207.910019,2,33,1,1,2,,,,,4,3,7,,4.949747468,2.121320344
225.5603876,2,33,1,1,1,,,,,4,4,8,,5.656854249,2.121320344
243.6619039,2,33,2,3,3,,,,,2,2,4,,2.828427125,-2.121320344
259.7946429,2,33,2,4,4,,,,,1,1,2,,1.414213562,-3.535533906
275.2599369,2,33,1,3,3,,,,,2,2,4,,2.828427125,1.414213562
290.4095177,2,33,1,2,2,,,,,3,3,6,,4.242640687,2.121320344
306.2586785,2,33,2,4,3,,,,,1,2,3,,2.121320344,-2.828427125
327.2618978,2,33,1,3,2,,,,,2,3,5,,3.535533906,1.414213562
350.2681255,2,33,2,3,4,,,,,2,1,3,,2.121320344,-2.121320344
17.7706608,2,333,2,4,3,2,2,2.828427125,45,1,2,3,-4,2.121320344,2.828427125
37.1894602,2,333,1,2,1,1,2,2.236067977,63.43494882,3,4,7,3,4.949747468,-2.121320344
59.1445853,2,333,1,2,1,1,3,3.16227766,71.56505118,3,4,7,4,4.949747468,-2.828427125
75.3660847,2,333,2,3,4,2,1,2.236067977,26.56505118,2,1,3,-3,2.121320344,2.121320344
91.4816485,2,333,1,3,1,1,3,3.16227766,71.56505118,2,4,6,4,4.242640687,-2.828427125
107.0140114,2,333,1,2,2,2,2,2.828427125,45,3,3,6,4,4.242640687,-2.828427125
125.8298244,2,333,2,3,3,2,2,2.828427125,45,2,2,4,-4,2.828427125,2.828427125
145.9810848,2,333,2,4,4,2,1,2.236067977,26.56505118,1,1,2,-3,1.414213562,2.121320344
164.8334112,2,333,2,2,4,1,1,1.414213562,45,3,1,4,-2,2.828427125,1.414213562
183.8856686,2,333,1,1,1,3,1,3.16227766,18.43494882,4,4,8,4,5.656854249,-2.828427125
198.7916626,2,333,2,2,3,1,1,1.414213562,45,3,2,5,-2,3.535533906,1.414213562
214.4995633,2,333,2,2,4,1,2,2.236067977,63.43494882,3,1,4,-3,2.828427125,2.121320344
234.0854988,2,333,2,3,2,2,1,2.236067977,26.56505118,2,3,5,-3,3.535533906,2.121320344
250.6887098,2,333,1,1,2,2,1,2.236067977,26.56505118,4,3,7,3,4.949747468,-2.121320344
266.3542934,2,333,1,1,2,3,2,3.605551275,33.69006753,4,3,7,5,4.949747468,-3.535533906
281.6330844,2,333,2,4,4,1,1,1.414213562,45,1,1,2,-2,1.414213562,1.414213562
296.6480003,2,333,2,4,3,2,1,2.236067977,26.56505118,1,2,3,-3,2.121320344,2.121320344
313.3313552,2,333,1,1,2,3,1,3.16227766,18.43494882,4,3,7,4,4.949747468,-2.828427125
338.6565985,2,333,2,4,3,1,1,1.414213562,45,1,2,3,-2,2.121320344,1.414213562
359.3486234,2,333,1,2,2,1,2,2.236067977,63.43494882,3,3,6,3,4.242640687,-2.121320344
